Nom,Prénom,Email,DateRecrutement
"Bodeta","Céline","celine.bodeta@yahoo.fr","21/09/2020"
"Limen","Emmanuel","elimen@ootlok.fr","03/04/2019"
"Mielt","Sébastien","sebestien.mielt@gmail.com","09/02/2022"
"Sobriers","Nathalie","nath.sobriers@lapost.net","10/09/2022"
"Uzouliec","Guillaume","guzouliec@gmail.com","02/03/2022"
"Kerbec","Florent","flokerbec@gmail.com","25/08/2022"
"Guynne","Vincent","v.guynne@laposte.net","21/09/2022"
"Sauchene","Nathalie","nsauchene@perso.com","9/08/2021"
"Aklal","Caroline","caraklal@gmail.com","31/07/2019"
"Danagl","Sophie","sophie.danagle@outlook.com","1/01/2020"
"Raviolyszog","Gérard","g.ravioly@univ-orleans.fr","11/09/2021"
"Phorielec","Christophe","chris.phorielec@gmail.com","01/09/2022"
bastien,monet,a,z
